#VERSION,1,2026/5/31 16:38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~索引,测点名称,描述,设计编号,数据类型,读写属性,驱动类型,测点地址,单位,测点类型,工程上限,工程下限,优先级,安全区,报警区,历史存储,报警类型,高高,高,低,低低,历史缓存,OPC输出,语音报警,采集周期,历史库名称,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,签名,许可,报警确认时是否需要签名,
26,HW.DI020709.PV,B送风机风机侧轴承座振动XY向高,32HLB20CY001H,BOOL,,,HW.DI020709.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
27,HW.DI020710.PV,B引风机轴承振动1高,32HNC20CY001H,BOOL,,,HW.DI020710.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
28,HW.DI020711.PV,B一次风机风机侧轴承振动XY向高,32HLB10CY001H,BOOL,,,HW.DI020711.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
29,HW.DI020712.PV,B风机振动检测仪表柜故障,32CFQ01XB01,BOOL,,,HW.DI020712.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
30,HW.DI020713.PV,B送风机跳位1,32HLB20AN0014,BOOL,,,HW.DI020713.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
31,HW.DI020715.PV,B一次风机跳位1,32HLB10AN0014,BOOL,,,HW.DI020715.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
32,HW.AQ030201.PV,B引风机动叶指令,32HNC20AA1010,FLOAT,,,HW.AQ030201.PV,,,100,0,0,S001,A001,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
33,HW.AI030401.PV,B引风机电流,32HNC20AN0019,FLOAT,,,HW.AI030401.PV,,,1200,0,0,S001,A001,Y,,20000,535,0,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
34,HW.AI030402.PV,B引风机动叶开度,32HNC20AA1019,FLOAT,,,HW.AI030402.PV,,,100,0,0,S001,A001,Y,,20000,100,-5,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
35,HW.AI030403.PV,3B空预器齿轮油泵出口压力2,32KYQ10CP101,FLOAT,,,HW.AI030403.PV,,,1,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
36,HW.AI030404.PV,B一次风机风机侧轴承座X向振动,32HLB10CY001,FLOAT,,,HW.AI030404.PV,,,20,0,0,S001,A001,Y,,20000,6.3,-1,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
37,HW.AI030405.PV,B送风机电机侧轴承座Y向振动,32HLB20CY004,FLOAT,,,HW.AI030405.PV,,,20,0,0,S001,A001,Y,,20000,4.5,-1,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
38,HW.AI030406.PV,B引风机#2冷却风机出口风压,32HNC02CP105,FLOAT,,,HW.AI030406.PV,,,5,0,0,S001,A001,Y,,20000,5,1,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
39,HW.AI030407.PV,B引风机轴承振动2,32HNC20CY002,FLOAT,,,HW.AI030407.PV,,,20,0,0,S001,A001,Y,,20000,4.6,-1,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
40,HW.DI040204.PV,B引风机#1冷却风机合位,32HNC20AN0023,BOOL,,,HW.DI040204.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
41,HW.DI040205.PV,B引风机#1冷却风机跳位,32HNC20AN0024,BOOL,,,HW.DI040205.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
42,HW.DI040206.PV,B引风机#1冷却风机控制电源故障,32HNC20AN0025,BOOL,,,HW.DI040206.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
43,HW.DI040207.PV,B引风机#1冷却风机就地控制,32HNC20AN0026,BOOL,,,HW.DI040207.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
44,HW.DI040208.PV,B引风机轴承振动2高高,32HNC20CY002HH,BOOL,,,HW.DI040208.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
45,HW.DI040212.PV,B引风机#1油泵分位,32HNC20AP0014,BOOL,,,HW.DI040212.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
46,HW.DI040213.PV,B引风机#1油泵就地控制,32HNC20AP0016,BOOL,,,HW.DI040213.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
47,HW.DI040214.PV,B送风机电机侧轴承座振动XY向高,32HLB20CY003H,BOOL,,,HW.DI040214.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
48,HW.DI040215.PV,B引风机轴承振动2高,32HNC20CY002H,BOOL,,,HW.DI040215.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
49,HW.DI040504.PV,B一次风机电机侧振动XY向高高,32HLB10CY003HH,BOOL,,,HW.DI040504.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
50,HW.DI040505.PV,B一次风机合位,32HLB10AN0013,BOOL,,,HW.DI040505.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
51,HW.DI040507.PV,B一次风机保护装置故障或未储能,32HLB10AN0015,BOOL,,,HW.DI040507.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
52,HW.DI040508.PV,B一次风机保护动作,32HLB10AN0017,BOOL,,,HW.DI040508.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
53,HW.DI040509.PV,B一次风机开关柜就地控制,32HLB10AN0016,BOOL,,,HW.DI040509.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
54,HW.DI040513.PV,B一次风机电机侧轴承振动XY向高,32HLB10CY003H,BOOL,,,HW.DI040513.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
55,HW.DI040514.PV,MFT跳闸B一次风机指令1,DCS送出,,BOOL,,,HW.DI040514.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,无签名,,,,,,,,,,,0,0,0
56,HW.DI040707.PV,B送风机失速,32HLB20CP001,BOOL,,,HW.DI040707.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
57,HW.DI040708.PV,B送风机风机侧轴承振动XY向高高,32HLB20CY001HH,BOOL,,,HW.DI040708.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
58,HW.DI040709.PV,B送风机合位2,,BOOL,,,HW.DI040709.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
59,HW.DI040710.PV,MFT继电器动作到B风烟3,,BOOL,,,HW.DI040710.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
60,HW.DI040713.PV,B空预器#2齿轮油泵运行,32HFC20AT013,BOOL,,,HW.DI040713.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
61,HW.DI040714.PV,B空预器#2齿轮油泵停运,32HFC20AT014,BOOL,,,HW.DI040714.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
62,HW.DI040715.PV,B空预器#2齿轮油泵就地,32HFC20AT016,BOOL,,,HW.DI040715.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
63,HW.DI040716.PV,B空预器#2齿轮油泵电源消失,32HFC20AT017,BOOL,,,HW.DI040716.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
64,HW.AQ050101.PV,B送风机动叶指令,32HLB20AA1010,FLOAT,,,HW.AQ050101.PV,,,100,0,0,S001,A001,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
65,HW.AI050201.PV,B送风机动叶位置,32HLB20AA1019,FLOAT,,,HW.AI050201.PV,,,100,0,0,S001,A001,Y,,20000,100,-5,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
66,HW.AI050202.PV,B送风机电流,32HLB20AN0019A,FLOAT,,,HW.AI050202.PV,,,300,0,0,S001,A001,Y,,20000,300,0,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
67,HW.AI050203.PV,B空预器出口二次风压力,30HLA22CP101,FLOAT,,,HW.AI050203.PV,,,2,0,0,S001,A001,Y,,20000,2,0,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
68,HW.AI050204.PV,B送风机电机侧轴承座X向振动,32HLB20CY003,FLOAT,,,HW.AI050204.PV,,,20,0,0,S001,A001,Y,,20000,4.5,-1,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
69,HW.AI050205.PV,B一次风机润滑油压力,32HLB12CP101,FLOAT,,,HW.AI050205.PV,,,1,0,0,S001,A001,Y,,20000,1,0,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
70,HW.AI050206.PV,B一次风机电机侧轴承座Y向振动,32HLB10CY004,FLOAT,,,HW.AI050206.PV,,,20,0,0,S001,A001,Y,,20000,6.3,-1,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
71,HW.AI050207.PV,3B送风机液压油压力3,32HNC21CP103,FLOAT,,,HW.AI050207.PV,,,10,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
72,HW.DI050409.PV,B火焰镜头进到位,30HBK02AA0013,BOOL,,,HW.DI050409.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
73,HW.DI050410.PV,B火焰镜头退到位,30HBK02AA0014,BOOL,,,HW.DI050410.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
74,HW.DI050411.PV,B火焰镜头欠压,30HBK02AA0016,BOOL,,,HW.DI050411.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
75,HW.DI050412.PV,B火焰镜头超温,30HBK02AA0017,BOOL,,,HW.DI050412.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
76,HW.DI050413.PV,切换B反馈,30HBK02AA0018,BOOL,,,HW.DI050413.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
77,HW.DI050414.PV,切换B已完成,30HBK02AA0019,BOOL,,,HW.DI050414.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
78,HW.DI050704.PV,B一次风机风机侧振动XY向高高,32HLB10CY001HH,BOOL,,,HW.DI050704.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
79,HW.DI050708.PV,B引风机失速差压高报警,32HNC20CP001,BOOL,,,HW.DI050708.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
80,HW.DI050709.PV,B一次风机动叶已开,32HLB10AA1013,BOOL,,,HW.DI050709.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
81,HW.DI050710.PV,B一次风机动叶已关,32HLB10AA1014,BOOL,,,HW.DI050710.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
82,HW.DI050711.PV,B一次风机动叶故障,32HLB10AA1015,BOOL,,,HW.DI050711.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
83,HW.DI050712.PV,B引风机轴承振动1高高,32HNC20CY001HH,BOOL,,,HW.DI050712.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
84,HW.DI050713.PV,B引风机油站加热器分位,32HNC20AH0014,BOOL,,,HW.DI050713.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
85,HW.DI050714.PV,B引风机油站加热器就地控制,32HNC20AH0016,BOOL,,,HW.DI050714.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
86,HW.DI050715.PV,MFT跳闸B一次风机指令2DCS送出,,BOOL,,,HW.DI050715.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,无签名,,,,,,,,,,,0,0,0,
87,HW.DI050801.PV,B引风机#1循环冷却油泵合位,32HNC21AP0013,BOOL,,,HW.DI050801.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
88,HW.DI050802.PV,B引风机#1循环冷却油泵分位,32HNC21AP0014,BOOL,,,HW.DI050802.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
89,HW.DI050803.PV,B引风机#1循环冷却油泵工作过载脱,32HNC21AP0015,BOOL,,,HW.DI050803.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
90,HW.DI050804.PV,B引风机#1循环冷却油泵就地控制,32HNC21AP0016,BOOL,,,HW.DI050804.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
91,HW.DI050813.PV,B引风机#2就地控制柜电源脱扣,32HNC20GH00102,BOOL,,,HW.DI050813.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
92,HW.DI050815.PV,B一次风机合位2,,BOOL,,,HW.DI050815.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
93,HW.DI050816.PV,30CRA17机柜电源故障,,BOOL,,,HW.DI050816.PV,,,2,-1,0,S001,A255,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
94,HW.AQ060601.PV,B一次风机动叶指令,32HLB10AA1010,FLOAT,,,HW.AQ060601.PV,,,100,0,0,S001,A001,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
95,HW.AI060701.PV,B一次风机电流,32HLB10AN0019A,FLOAT,,,HW.AI060701.PV,,,400,0,0,S001,A001,Y,,20000,150,0,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
96,HW.AI060702.PV,B一次风机动叶位置,32HLB10AA1019,FLOAT,,,HW.AI060702.PV,,,100,0,0,S001,A001,Y,,20000,105,-5,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
97,HW.AI060703.PV,3B空预器齿轮油泵出口压力3,32KYQ10CP101,FLOAT,,,HW.AI060703.PV,,,1,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
98,HW.AI060704.PV,B送风机风机侧轴承座Y向振动,32HLB20CY002,FLOAT,,,HW.AI060704.PV,,,20,0,0,S001,A001,Y,,20000,4.5,-1,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
99,HW.AI060705.PV,B一次风机风机侧轴承座Y向振动,32HLB10CY002,FLOAT,,,HW.AI060705.PV,,,20,0,0,S001,A001,Y,,20000,5.6,-1,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
100,HW.AI060706.PV,3B送风机液压油压力2,32HNC21CP102,FLOAT,,,HW.AI060706.PV,,,10,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
101,HW.AI060707.PV,B送风机油过滤器进出口差压,32HNC21CP104,FLOAT,,,HW.AI060707.PV,,,1,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
102,HW.DQ070201.PV,B送风机#1液压油泵合闸命令,32HLB20AP0011,BOOL,,,HW.DQ070201.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
103,HW.DQ070202.PV,B送风机#1液压油泵跳闸命令,32HLB20AP0012,BOOL,,,HW.DQ070202.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
104,HW.DQ070203.PV,启动引风机#1油泵,32HNC20AP0011,BOOL,,,HW.DQ070203.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
105,HW.DQ070204.PV,停运引风机#1油泵,32HNC20AP0012,BOOL,,,HW.DQ070204.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
106,HW.DQ070207.PV,B空预器#2齿轮油泵合闸指令,32HFC20AT0011,BOOL,,,HW.DQ070207.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
107,HW.DQ070208.PV,B空预器#2齿轮油泵跳闸指令,32HFC20AT0012,BOOL,,,HW.DQ070208.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
108,HW.DQ070209.PV,启动B引风机#1循环冷却油泵,32HNC21AP0011,BOOL,,,HW.DQ070209.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
109,HW.DQ070210.PV,停运B引风机#1循环冷却油泵,32HNC21AP0012,BOOL,,,HW.DQ070210.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
110,HW.DQ070211.PV,B空预器主电机电流高去LCS,32HLD50GH00101,BOOL,,,HW.DQ070211.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
111,HW.DQ070213.PV,B一次风机合闸命令,32HLB10AN0011,BOOL,,,HW.DQ070213.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
112,HW.DQ070214.PV,B一次风机跳闸命令,32HLB10AN0012,BOOL,,,HW.DQ070214.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
113,HW.DI070401.PV,B引风机#1油泵合位,32HNC20AP0023,BOOL,,,HW.DI070401.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
114,HW.DI070402.PV,B引风机#1油泵工作过载脱扣,32HNC20AP0025,BOOL,,,HW.DI070402.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
115,HW.DI070403.PV,B引风机#1就地控制柜电源脱扣,32HNC20GH00101,BOOL,,,HW.DI070403.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
116,HW.DI070404.PV,B引风机润滑油压力低低,32HNC22CP003,BOOL,,,HW.DI070404.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
117,HW.DI070405.PV,B送风机#1液压油泵合位,32HLB20AP0013,BOOL,,,HW.DI070405.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
118,HW.DI070408.PV,B送风机油压低,,BOOL,,,HW.DI070408.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
119,HW.DI070409.PV,B一次风机润滑油出口流量低,32HLB10CF001L,BOOL,,,HW.DI070409.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
120,HW.DI070411.PV,B一次风机润滑油压低,32HLB10CP007L,BOOL,,,HW.DI070411.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
121,HW.DI070413.PV,B一次风机液压油压低,32HLB10CP010L,BOOL,,,HW.DI070413.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
122,HW.DI070414.PV,B引风机合位2,,BOOL,,,HW.DI070414.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
123,HW.DI070415.PV,MFT后吹扫保护,停B送/引风机2,,BOOL,,,HW.DI070415.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,无签名,,,,,,,,,,,0,0,0
