#VERSION,1,2026/5/31 16:38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~索引,测点名称,描述,设计编号,数据类型,读写属性,驱动类型,测点地址,单位,测点类型,工程上限,工程下限,优先级,安全区,报警区,历史存储,报警类型,高高,高,低,低低,历史缓存,OPC输出,语音报警,采集周期,历史库名称,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,签名,许可,报警确认时是否需要签名
34,HW.DI010616.PV,OA主机柜电源故障报警,,BOOL,,,HW.DI010616.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
35,HW.DQ010801.PV,#3机DEH遥控方式投入,,BOOL,,,HW.DQ010801.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
36,HW.DQ010802.PV,#3机DEH负荷控制投入(协调方式）,,BOOL,,,HW.DQ010802.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
37,HW.DQ010803.PV,3A高压主汽门关闭,,BOOL,,,HW.DQ010803.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
38,HW.DQ010804.PV,3A中压主汽门关闭,,BOOL,,,HW.DQ010804.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
39,HW.DQ010805.PV,3A高压调门关闭,,BOOL,,,HW.DQ010805.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
40,HW.DQ010806.PV,3A中压调门关闭,,BOOL,,,HW.DQ010806.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
41,HW.DQ010807.PV,#3机DEH一次调频修正未投入,,BOOL,,,HW.DQ010807.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
42,HW.DQ010808.PV,#3机DEH初压控制方式投入,,BOOL,,,HW.DQ010808.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
43,HW.DQ010809.PV,#3机DEH初压控制投入(协调方式),,BOOL,,,HW.DQ010809.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
44,HW.DQ010810.PV,再热器保护丧失1,,BOOL,,,HW.DQ010810.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
45,HW.DQ010811.PV,3A高压主汽门关闭(实验用),,BOOL,,,HW.DQ010811.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
46,HW.DQ010812.PV,3B高压主汽门关闭(实验用),,BOOL,,,HW.DQ010812.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
47,HW.DQ010813.PV,3A中压主汽门关闭(实验用),,BOOL,,,HW.DQ010813.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
48,HW.DQ010814.PV,3B中压主汽门关闭(实验用),,BOOL,,,HW.DQ010814.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
49,HW.DQ010815.PV,并网(实验用),,BOOL,,,HW.DQ010815.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
50,HW.DQ010816.PV,KU(实验用),,BOOL,,,HW.DQ010816.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
51,HW.AI020201.PV,3A高压调门阀位B,,FLOAT,,,HW.AI020201.PV,,,100,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
52,HW.AI020202.PV,3B高压调门阀位B,,FLOAT,,,HW.AI020202.PV,,,100,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
53,HW.AI020203.PV,3A中压调门阀位B,,FLOAT,,,HW.AI020203.PV,,,100,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
54,HW.AI020204.PV,3B中压调门阀位B,,FLOAT,,,HW.AI020204.PV,,,100,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
55,HW.AI020206.PV,3B高压主汽门阀位,,FLOAT,,,HW.AI020206.PV,,,100,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
56,HW.AI020207.PV,3B中压主汽门阀位,,FLOAT,,,HW.AI020207.PV,,,100,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
57,HW.AQ020301.PV,3A高压调门指令B,,FLOAT,,,HW.AQ020301.PV,,,100,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
58,HW.AQ020302.PV,3B高压调门指令B,,FLOAT,,,HW.AQ020302.PV,,,100,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
59,HW.AQ020303.PV,3A中压调门指令B,,FLOAT,,,HW.AQ020303.PV,,,100,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
60,HW.AQ020304.PV,3B中压调门指令B,,FLOAT,,,HW.AQ020304.PV,,,100,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
61,HW.AI020401.PV,#3机3A高压主汽门前蒸汽压力 2,,FLOAT,,,HW.AI020401.PV,,,30,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
62,HW.AI020402.PV,#3机3B高压主汽门前蒸汽压力 2,,FLOAT,,,HW.AI020402.PV,,,30,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
63,HW.AI020403.PV,#3机DEH发电机功率 2,,FLOAT,,,HW.AI020403.PV,,,990,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
64,HW.AI020404.PV,#3机补汽阀后蒸汽压力,,FLOAT,,,HW.AI020404.PV,,,30,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
65,HW.AI020405.PV,#3机DEH协调控制负荷设定 2,,FLOAT,,,HW.AI020405.PV,,,700,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
66,HW.AI020406.PV,#3机DEH主蒸汽压力设定 2,,FLOAT,,,HW.AI020406.PV,,,30,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
67,HW.AI020407.PV,3B高压调门后蒸汽压力,,FLOAT,,,HW.AI020407.PV,,,30,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
68,HW.AQ020501.PV,高调2开度,,FLOAT,,,HW.AQ020501.PV,,,105,-5,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
69,HW.AQ020502.PV,中调1开度,,FLOAT,,,HW.AQ020502.PV,,,105,-5,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
70,HW.AQ020503.PV,中调2开度,,FLOAT,,,HW.AQ020503.PV,,,105,-5,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
71,HW.DI020601.PV,#3机发电机出口开关闭合(NO 接点2),,BOOL,,,HW.DI020601.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
72,HW.DI020602.PV,#3机发电机出口开关断开(NC 接点2),,BOOL,,,HW.DI020602.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
73,HW.DI020607.PV,3A高压调门SVP卡B故障信号,,BOOL,,,HW.DI020607.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
74,HW.DI020608.PV,3B高压调门SVP卡B故障信号,,BOOL,,,HW.DI020608.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
75,HW.DI020609.PV,3A中压调门SVP卡B故障信号,,BOOL,,,HW.DI020609.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
76,HW.DI020610.PV,3B中压调门SVP卡B故障信号,,BOOL,,,HW.DI020610.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
77,HW.DQ020701.PV,3A高压调门快关#1电磁阀A,,BOOL,,,HW.DQ020701.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
78,HW.DQ020702.PV,3B高压调门快关#1电磁阀A,,BOOL,,,HW.DQ020702.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
79,HW.DQ020703.PV,3A中压调门快关#1电磁阀A,,BOOL,,,HW.DQ020703.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
80,HW.DQ020704.PV,3B中压调门快关#1电磁阀A,,BOOL,,,HW.DQ020704.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
81,HW.DQ020705.PV,#3机补汽阀快关#1电磁阀A,,BOOL,,,HW.DQ020705.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
82,HW.DQ020707.PV,3A高压调门快关#2电磁阀A,,BOOL,,,HW.DQ020707.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
83,HW.DQ020708.PV,3B高压调门快关#2电磁阀A,,BOOL,,,HW.DQ020708.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
84,HW.DQ020709.PV,3A中压调门快关#2电磁阀A,,BOOL,,,HW.DQ020709.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
85,HW.DQ020710.PV,3B中压调门快关#2电磁阀A,,BOOL,,,HW.DQ020710.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
86,HW.DQ020711.PV,#3机补汽阀快关#2电磁阀A,,BOOL,,,HW.DQ020711.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
87,HW.AQ020801.PV,#3机DEH负荷设定参考#1,,FLOAT,,,HW.AQ020801.PV,,,700,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
88,HW.AQ020802.PV,#3机DEH压力设定参考#1,,FLOAT,,,HW.AQ020802.PV,,,30,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
89,HW.AI030201.PV,#3机3A高压主汽门前蒸汽压力 3,,FLOAT,,,HW.AI030201.PV,,,30,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
90,HW.AI030202.PV,#3机3B高压主汽门前蒸汽压力 3,,FLOAT,,,HW.AI030202.PV,,,30,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
91,HW.AI030203.PV,#3机DEH发电机功率 3,,FLOAT,,,HW.AI030203.PV,,,990,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
92,HW.AI030205.PV,#3机3A中压主汽门前压力,,FLOAT,,,HW.AI030205.PV,,,8,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
93,HW.AI030206.PV,#3机3B中压主汽门前压力,,FLOAT,,,HW.AI030206.PV,,,8,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
94,HW.AI030207.PV,#3机DEH协调控制负荷设定 3,,FLOAT,,,HW.AI030207.PV,,,700,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
95,HW.AI030208.PV,#3机DEH主蒸汽压力设定 3,,FLOAT,,,HW.AI030208.PV,,,30,0,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
96,HW.AQ030301.PV,一次调频负荷量,,FLOAT,,,HW.AQ030301.PV,,,40,-40,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
97,HW.AQ030302.PV,#3机DEH压力设定参考#2,,FLOAT,,,HW.AQ030302.PV,,,30,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
98,HW.AQ030303.PV,#3机DEH负荷设定参考#2,,FLOAT,,,HW.AQ030303.PV,,,700,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
99,HW.DI030401.PV,#3机发电机出口开关闭合(NO 接点1),,BOOL,,,HW.DI030401.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
100,HW.DI030402.PV,#3机发电机出口开关断开(NC 接点1),,BOOL,,,HW.DI030402.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
101,HW.DI030404.PV,#3机同步转速升,,BOOL,,,HW.DI030404.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
102,HW.DI030405.PV,#3机同步转速降,,BOOL,,,HW.DI030405.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
103,HW.DI030407.PV,#3机初压模式请求DCS来,,BOOL,,,HW.DI030407.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
104,HW.DI030408.PV,#3机限压模式请求DCS来,,BOOL,,,HW.DI030408.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
105,HW.DI030409.PV,协调方式退出,,BOOL,,,HW.DI030409.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
106,HW.DI030410.PV,协调方式投入,,BOOL,,,HW.DI030410.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
107,HW.DI030412.PV,#3机调频切除请求DCS来,,BOOL,,,HW.DI030412.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
108,HW.DI030416.PV,#3机一次调频在线试验投入FRE TEST,,BOOL,,,HW.DI030416.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
109,HW.DQ030501.PV,3A高压调门快关#1电磁阀B,,BOOL,,,HW.DQ030501.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
110,HW.DQ030502.PV,3B高压调门快关#1电磁阀B,,BOOL,,,HW.DQ030502.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
111,HW.DQ030503.PV,3A中压调门快关#1电磁阀B,,BOOL,,,HW.DQ030503.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
112,HW.DQ030504.PV,3B中压调门快关#1电磁阀B,,BOOL,,,HW.DQ030504.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
113,HW.DQ030505.PV,#3机补汽阀快关#1电磁阀B,,BOOL,,,HW.DQ030505.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
114,HW.DQ030507.PV,3A高压调门快关#2电磁阀B,,BOOL,,,HW.DQ030507.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
115,HW.DQ030508.PV,3B高压调门快关#2电磁阀B,,BOOL,,,HW.DQ030508.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
116,HW.DQ030509.PV,3A中压调门快关#2电磁阀B,,BOOL,,,HW.DQ030509.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
117,HW.DQ030510.PV,3B中压调门快关#2电磁阀B,,BOOL,,,HW.DQ030510.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
118,HW.DQ030511.PV,#3机补汽阀快关#2电磁阀B,,BOOL,,,HW.DQ030511.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
119,HW.DQ030601.PV,#3机补汽阀关闭（实验用）,,BOOL,,,HW.DQ030601.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
120,HW.DQ030606.PV,3B高压主汽门关闭,,BOOL,,,HW.DQ030606.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
121,HW.DQ030607.PV,3B中压主汽门关闭,,BOOL,,,HW.DQ030607.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
122,HW.DQ030608.PV,3B高压调门关闭,,BOOL,,,HW.DQ030608.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
123,HW.DQ030609.PV,3B中压调门关闭,,BOOL,,,HW.DQ030609.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
124,HW.DQ030610.PV,#3机补汽阀关闭,,BOOL,,,HW.DQ030610.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
125,HW.DQ030611.PV,再热器保护丧失3,,BOOL,,,HW.DQ030611.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
126,SH0027.PROYR.IN,central MIN selection output,,FLOAT,,,SH0027.PROYR.IN,,,,,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
